"SIBO","Observed_ASVs","Shannon","Simpson"
"SIBO_NEG","197 (134–297)","3.3 (2.8–3.74)","0.9 (0.84–0.95)"
"SIBO_POS","183.5 (101.5–269.75)","3.19 (2.53–3.68)","0.9 (0.84–0.94)"
